,y,x,Oblast,ADMIN_2,ADMIN_3,type_tg,type_np,Settlement,Address,zaryad,type,new_id,pidzariadk,primitka
2060,50.28650403,28.78380381,Житомирська,Житомирський,Глибочицька,сільська територіальна громада,село,Глибчиця,вул. Промислова 2,так,Інші заклади/громадські місця,3f7465fa,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2061,51.49474803,31.30797636,Чернігівська,Чернігівський, ,міська територіальна громада,місто,Чернігів,вул. Шевченка 33а,так,Кафе/ресторан,50ca79e1,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2062,50.6193275,27.1585464,Рівненська,Рівненський,Корецька,міська територіальна громада,місто,Корець,площа Київська 3,так,Кафе/ресторан,ad8deaec,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2063,50.45289525,28.66846151,Житомирська,Житомирський,Черняхівська,селищна територіальна громада,селище міського типу,Черняхів,вул. Володимирська 7,так,Кафе/ресторан,66b7501d,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2064,50.7679453,25.37136672,Волинська,Луцький,Луцька,міська територіальна громада,місто,Луцьк,вул. Гордіюк 49,так,Кафе/ресторан,723303dd,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2065,50.7607399,25.3753055,Волинська,Луцький,Луцька,міська територіальна громада,місто,Луцьк,проспект Молоді 5,так,Кафе/ресторан,0a743f18,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2066,50.28843895,28.89491739,Житомирська,Житомирський,Глибочицька,сільська територіальна громада,село,Кмитів,вул. Покровська 1А,так,Кафе/ресторан,30193cb8,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2067,50.45573993,28.69015703,Житомирська,Житомирський,Черняхівська,селищна територіальна громада,селище міського типу,Черняхів,вул. Індустріальна 33,так,Кафе/ресторан,c48d1211,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2068,50.2563756,28.6749565,Житомирська,Житомирський,Житомирська,міська територіальна громада,місто,Житомир,вул. Хлібна 12В,так,Кафе/ресторан,0a88cb6f,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
2069,49.23298576,28.46280639,Вінницька,Вінницький,Вінницька,міська територіальна громада,місто,Вінниця,вул. Театральна 20,так,Кафе/ресторан,95866f2e,Підзарядка гаджетів,ПН (бізнес) від ОДА на карту
