,y,x,Oblast,ADMIN_2,ADMIN_3,type_tg,type_np,Settlement,Address,zaryad,type,new_id,pidzariadk,primitka
95,48.678352,26.591961,Хмельницька, , , , , ,"м.Кам'янець-Подільський, просп.М.Грушевського, 42-А",ні,Аптека,FR00019,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
96,50.39502,30.499425,Київ, , , , , ,"м.Київ, вул.Васильківська, 15/14",ні,Аптека,FR00020,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
97,50.478769,30.604303,Київ, , , , , ,"м.Київ, вул.Запорожця, 26 КНП ЦНМСД №1",ні,Аптека,FR00021,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
98,50.462053,30.431828,Київ, , , , , ,"м.Київ, вул.І.Сікорського, 1",ні,Аптека,FR00022,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
99,50.382408,30.457521,Київ, , , , , ,"м.Київ, вул.Конєва, 10/1",ні,Аптека,FR00023,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
100,50.45409,30.364548,Київ, , , , , ,"м.Київ, вул.Львівська, 48/7-А",ні,Аптека,FR00024,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
101,48.52533,25.04804,Івано-Франківська, , , , , ,"м.Коломия, вул.Івана Мазепи, 43",ні,Аптека,FR00025,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
102,48.52443,25.03968,Івано-Франківська, , , , , ,"м.Коломия, пл.Шевченка, 10-11",ні,Аптека,FR00026,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
103,49.62632,23.6927,Львівська, , , , , ,"м.Комарно, пл.Івана Франка, 2",ні,Аптека,FR00027,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
104,51.238935,33.211438,Сумська, , , , , ,"м.Конотоп, пл.Миру, 2",ні,Аптека,FR00028,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
105,51.227282,33.195215,Сумська, , , , , ,"м.Конотоп, просп.Миру, 68",ні,Аптека,FR00029,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
106,48.318322,25.090558,Івано-Франківська, , , , , ,"м.Косів, вул.Небесної сотні, буд. 16-1",ні,Аптека,FR00030,"працює за відсутності електропостачання, не надають послуги з підзарядки гаджетів",Ритейл
